experiment_id,dataset,number_of_data,model,prompt_type,number_of_shots,temperature,max_tokens,stop,batch_size,pad_token,pad_token_id,eos_token_id,seed,device,note,accuracy,sensitivity_general,sensitivity_correct,sensitivity_incorrect,model_size,,
20230913_133248,cola,527,google/flan-t5-large,zero_a,4,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.2542694497,0.2843137255,0.2218905473,0.3055979644,T5-0.77B-T,checklist,
20230913_133328,cola,527,google/flan-t5-large,zero_a,4,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.2542694497,0.2843137255,0.2218905473,0.3055979644,T5-0.77B-T,cola,81
20230913_133408,cola,527,google/flan-t5-large,zero_a,4,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.2542694497,0.2843137255,0.2218905473,0.3055979644,T5-0.77B-T,rte,81
20230913_133447,cola,527,google/flan-t5-large,zero_b,4,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.5958254269,0.1957305503,0.2022292994,0.1861502347,T5-0.77B-T,sst2,81
20230913_133527,cola,527,google/flan-t5-large,zero_b,4,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.5958254269,0.1957305503,0.2022292994,0.1861502347,T5-0.77B-T,mnli,81
20230913_133606,cola,527,google/flan-t5-large,zero_b,4,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.5958254269,0.1957305503,0.2022292994,0.1861502347,T5-0.77B-T,csqa,96
20230913_133645,cola,527,google/flan-t5-large,base_a,4,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.4098671727,0.1888045541,0.1453703704,0.2189710611,T5-0.77B-T,,
20230913_133725,cola,527,google/flan-t5-large,base_a,4,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.4098671727,0.1888045541,0.1453703704,0.2189710611,T5-0.77B-T,,
20230913_133805,cola,527,google/flan-t5-large,base_a,4,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.4098671727,0.1888045541,0.1453703704,0.2189710611,T5-0.77B-T,,
20230913_133844,cola,527,google/flan-t5-large,base_b,4,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.7191650854,0.05053763441,0.04045734389,0.07635135135,T5-0.77B-T,,
20230913_133924,cola,527,google/flan-t5-large,base_b,4,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.7191650854,0.05053763441,0.04045734389,0.07635135135,T5-0.77B-T,,
20230913_134004,cola,527,google/flan-t5-large,base_b,4,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.7191650854,0.05053763441,0.04045734389,0.07635135135,T5-0.77B-T,,
20230913_134044,cola,527,google/flan-t5-large,context faithful prompting,4,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.6944971537,0.006925996205,0.004371584699,0.01273291925,T5-0.77B-T,,
20230913_134124,cola,527,google/flan-t5-large,context faithful prompting,4,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.6944971537,0.006925996205,0.004371584699,0.01273291925,T5-0.77B-T,,
20230913_134204,cola,527,google/flan-t5-large,context faithful prompting,4,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.6944971537,0.006925996205,0.004371584699,0.01273291925,T5-0.77B-T,,
20230913_134244,mnli,1000,google/flan-t5-large,zero_a,3,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.063,0.272,0.253968254,0.2732123799,T5-0.77B-T,,
20230913_134402,mnli,1000,google/flan-t5-large,zero_a,3,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.063,0.272,0.253968254,0.2732123799,T5-0.77B-T,,
20230913_134521,mnli,1000,google/flan-t5-large,zero_a,3,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.063,0.272,0.253968254,0.2732123799,T5-0.77B-T,,
20230913_134639,mnli,1000,google/flan-t5-large,zero_b,3,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.289,0.2748,0.3238754325,0.2548523207,T5-0.77B-T,,
20230913_134802,mnli,1000,google/flan-t5-large,zero_b,3,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.289,0.2748,0.3238754325,0.2548523207,T5-0.77B-T,,
20230913_134925,mnli,1000,google/flan-t5-large,zero_b,3,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.289,0.2748,0.3238754325,0.2548523207,T5-0.77B-T,,
20230913_135049,mnli,1000,google/flan-t5-large,base_a,3,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.037,0.1996,0.2432432432,0.1979231568,T5-0.77B-T,,
20230913_135206,mnli,1000,google/flan-t5-large,base_a,3,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.037,0.1996,0.2432432432,0.1979231568,T5-0.77B-T,,
20230913_135323,mnli,1000,google/flan-t5-large,base_a,3,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.037,0.1996,0.2432432432,0.1979231568,T5-0.77B-T,,
20230913_135440,mnli,1000,google/flan-t5-large,base_b,3,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.651,0.1522,0.1600614439,0.1375358166,T5-0.77B-T,,
20230913_135604,mnli,1000,google/flan-t5-large,base_b,3,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.651,0.1522,0.1600614439,0.1375358166,T5-0.77B-T,,
20230913_135728,mnli,1000,google/flan-t5-large,base_b,3,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.651,0.1522,0.1600614439,0.1375358166,T5-0.77B-T,,
20230913_135858,mnli,1000,google/flan-t5-large,context faithful prompting,3,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.091,0.0774,0.2043956044,0.06468646865,T5-0.77B-T,,
20230913_140037,mnli,1000,google/flan-t5-large,context faithful prompting,3,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.091,0.0774,0.2043956044,0.06468646865,T5-0.77B-T,,
20230913_140217,mnli,1000,google/flan-t5-large,context faithful prompting,3,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.091,0.0774,0.2043956044,0.06468646865,T5-0.77B-T,,
20230913_140357,rte,277,google/flan-t5-large,zero_a,2,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.09386281588,0.3364620939,0.3769230769,0.3322709163,T5-0.77B-T,,
20230913_140419,rte,277,google/flan-t5-large,zero_a,2,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.09386281588,0.3364620939,0.3769230769,0.3322709163,T5-0.77B-T,,
20230913_140440,rte,277,google/flan-t5-large,zero_a,2,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.09386281588,0.3364620939,0.3769230769,0.3322709163,T5-0.77B-T,,
20230913_140502,rte,277,google/flan-t5-large,zero_b,2,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.1046931408,0.2606498195,0.2896551724,0.2572580645,T5-0.77B-T,,
20230913_140525,rte,277,google/flan-t5-large,zero_b,2,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.1046931408,0.2606498195,0.2896551724,0.2572580645,T5-0.77B-T,,
20230913_140547,rte,277,google/flan-t5-large,zero_b,2,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.1046931408,0.2606498195,0.2896551724,0.2572580645,T5-0.77B-T,,
20230913_140611,rte,277,google/flan-t5-large,base_a,2,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.2166064982,0.3776173285,0.36,0.3824884793,T5-0.77B-T,,
20230913_140633,rte,277,google/flan-t5-large,base_a,2,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.2166064982,0.3776173285,0.36,0.3824884793,T5-0.77B-T,,
20230913_140654,rte,277,google/flan-t5-large,base_a,2,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.2166064982,0.3776173285,0.36,0.3824884793,T5-0.77B-T,,
20230913_140717,rte,277,google/flan-t5-large,base_b,2,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.5415162455,0.05703971119,0.05466666667,0.05984251969,T5-0.77B-T,,
20230913_140741,rte,277,google/flan-t5-large,base_b,2,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.5415162455,0.05703971119,0.05466666667,0.05984251969,T5-0.77B-T,,
20230913_140806,rte,277,google/flan-t5-large,base_b,2,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.5415162455,0.05703971119,0.05466666667,0.05984251969,T5-0.77B-T,,
20230913_140830,rte,277,google/flan-t5-large,context faithful prompting,2,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.5379061372,0.0642599278,0.06577181208,0.0625,T5-0.77B-T,,
20230913_140857,rte,277,google/flan-t5-large,context faithful prompting,2,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.5379061372,0.0642599278,0.06577181208,0.0625,T5-0.77B-T,,
20230913_140923,rte,277,google/flan-t5-large,context faithful prompting,2,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.5379061372,0.0642599278,0.06577181208,0.0625,T5-0.77B-T,,
20230913_140949,sst2,872,google/flan-t5-large,zero_a,4,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.5573394495,0.2818807339,0.2835390947,0.2797927461,T5-0.77B-T,,
20230913_141055,sst2,872,google/flan-t5-large,zero_a,4,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.5573394495,0.2818807339,0.2835390947,0.2797927461,T5-0.77B-T,,
20230913_141200,sst2,872,google/flan-t5-large,zero_a,4,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.5573394495,0.2818807339,0.2835390947,0.2797927461,T5-0.77B-T,,
20230913_141306,sst2,872,google/flan-t5-large,zero_b,4,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.4827981651,0.1073394495,0.1710213777,0.04789356984,T5-0.77B-T,,
20230913_141413,sst2,872,google/flan-t5-large,zero_b,4,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.4827981651,0.1073394495,0.1710213777,0.04789356984,T5-0.77B-T,,
20230913_141519,sst2,872,google/flan-t5-large,zero_b,4,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.4827981651,0.1073394495,0.1710213777,0.04789356984,T5-0.77B-T,,
20230913_141625,sst2,872,google/flan-t5-large,base_a,4,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.4094036697,0.177293578,0.09859943978,0.2318446602,T5-0.77B-T,,
20230913_141730,sst2,872,google/flan-t5-large,base_a,4,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.4094036697,0.177293578,0.09859943978,0.2318446602,T5-0.77B-T,,
20230913_141835,sst2,872,google/flan-t5-large,base_a,4,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.4094036697,0.177293578,0.09859943978,0.2318446602,T5-0.77B-T,,
20230913_141940,sst2,872,google/flan-t5-large,base_b,4,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.9197247706,0.1018348624,0.0957605985,0.1714285714,T5-0.77B-T,,
20230913_142049,sst2,872,google/flan-t5-large,base_b,4,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.9197247706,0.1018348624,0.0957605985,0.1714285714,T5-0.77B-T,,
20230913_142159,sst2,872,google/flan-t5-large,base_b,4,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.9197247706,0.1018348624,0.0957605985,0.1714285714,T5-0.77B-T,,
20230913_142309,sst2,872,google/flan-t5-large,context faithful prompting,4,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.7809633028,0.1048165138,0.09632892805,0.135078534,T5-0.77B-T,,
20230913_142421,sst2,872,google/flan-t5-large,context faithful prompting,4,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.7809633028,0.1048165138,0.09632892805,0.135078534,T5-0.77B-T,,
20230913_142533,sst2,872,google/flan-t5-large,context faithful prompting,4,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.7809633028,0.1048165138,0.09632892805,0.135078534,T5-0.77B-T,,
20230913_142644,csqa,1220,google/flan-t5-large,zero_a,5,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.8319672131,0.3103415301,0.3106568144,0.3087804878,T5-0.77B-T,,
20230913_142822,csqa,1220,google/flan-t5-large,zero_a,5,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.8319672131,0.3103415301,0.3106568144,0.3087804878,T5-0.77B-T,,
20230913_142959,csqa,1220,google/flan-t5-large,zero_a,5,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.8319672131,0.3103415301,0.3106568144,0.3087804878,T5-0.77B-T,,
20230913_143137,csqa,1220,google/flan-t5-large,zero_b,5,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.8040983607,0.2963934426,0.297706422,0.2910041841,T5-0.77B-T,,
20230913_143324,csqa,1220,google/flan-t5-large,zero_b,5,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.8040983607,0.2963934426,0.297706422,0.2910041841,T5-0.77B-T,,
20230913_143512,csqa,1220,google/flan-t5-large,zero_b,5,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.8040983607,0.2963934426,0.297706422,0.2910041841,T5-0.77B-T,,
20230913_143659,csqa,1220,google/flan-t5-large,base_a,5,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.837704918,0.3053415301,0.3048597521,0.3078282828,T5-0.77B-T,,
20230913_143833,csqa,1220,google/flan-t5-large,base_a,5,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.837704918,0.3053415301,0.3048597521,0.3078282828,T5-0.77B-T,,
20230913_144007,csqa,1220,google/flan-t5-large,base_a,5,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.837704918,0.3053415301,0.3048597521,0.3078282828,T5-0.77B-T,,
20230913_144141,csqa,1220,google/flan-t5-large,base_b,5,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.2540983607,0.04192622951,0.06870967742,0.0328021978,T5-0.77B-T,,
20230913_144328,csqa,1220,google/flan-t5-large,base_b,5,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.2540983607,0.04192622951,0.06870967742,0.0328021978,T5-0.77B-T,,
20230913_144516,csqa,1220,google/flan-t5-large,base_b,5,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.2540983607,0.04192622951,0.06870967742,0.0328021978,T5-0.77B-T,,
20230913_144703,csqa,1220,google/flan-t5-large,context faithful prompting,5,0.8,2,None,16,None,None,1,2266,NVIDIA A100 80GB PCIe,greedy,0.2286885246,0.02114754098,0.02240143369,0.02077577046,T5-0.77B-T,,
20230913_144855,csqa,1220,google/flan-t5-large,context faithful prompting,5,0.8,2,None,16,None,None,1,105,NVIDIA A100 80GB PCIe,greedy,0.2286885246,0.02114754098,0.02240143369,0.02077577046,T5-0.77B-T,,
20230913_145046,csqa,1220,google/flan-t5-large,context faithful prompting,5,0.8,2,None,16,None,None,1,86379,NVIDIA A100 80GB PCIe,greedy,0.2286885246,0.02114754098,0.02240143369,0.02077577046,T5-0.77B-T,,
